Date,VZ_Close_Last,T_Close_Last
2020-02-07,59.94,30.09
2020-02-06,59.44,30.08
2020-02-05,59.13,29.59
2020-02-04,58.29,29.45
2020-02-03,58.05,28.92
2020-01-31,59.44,29.44
2020-01-30,59.36,29.29
2020-01-29,59.53,28.99
2020-01-28,60.7,30.19
2020-01-27,59.91,29.93
2020-01-24,60.28,30.13
2020-01-23,60.51,30.23
2020-01-22,60.48,30.55
2020-01-21,60.32,30.14
2020-01-17,60.13,30.03
2020-01-16,59.67,29.76
2020-01-15,59.1,29.63
2020-01-14,59.04,29.81
2020-01-13,59.15,29.81
2020-01-10,58.99,30.18
2020-01-09,58.85,30.36
2020-01-08,59.71,30.81
2020-01-07,59.6,30.71
2020-01-06,60.27,30.6
2020-01-03,60.4,30.57
2020-01-02,61.05,30.41
2019-12-31,61.4,30.58
2019-12-30,61.21,30.55
2019-12-27,61.53,30.71
2019-12-26,61.29,30.64
2019-12-24,61.28,30.49
2019-12-23,61.4,30.57
2019-12-20,62.07,30.64
2019-12-19,60.8,30.46
2019-12-18,60.86,30.31
2019-12-17,61.49,30.13
2019-12-16,61.23,30.2
2019-12-13,60.81,29.94
2019-12-12,61.17,30.01
2019-12-11,61.08,29.87
2019-12-10,61.23,29.78
2019-12-09,61.01,29.77
2019-12-06,61.19,29.89
2019-12-05,60.82,29.88
2019-12-04,60.53,29.81
2019-12-03,60.14,29.38
2019-12-02,59.96,29.2
2019-11-29,60.24,29.25
2019-11-27,60.1,29.47
2019-11-26,59.89,29.27
2019-11-25,59.38,29.16
2019-11-22,59.75,29.54
2019-11-21,59.61,29.42
2019-11-20,59.48,29.09
2019-11-19,59.5,29.74
2019-11-18,59.44,31.01
2019-11-15,59.51,30.91
2019-11-14,59.34,30.48
2019-11-13,59.41,30.64
2019-11-12,59.32,30.65
2019-11-11,59.61,30.81
2019-11-08,59.35,30.82
2019-11-07,60.53,30.85
2019-11-06,60.13,30.71
2019-11-05,59.5,30.65
2019-11-04,59.87,30.43
2019-11-01,60.37,30.48
2019-10-31,60.47,30.12
2019-10-30,60.82,29.89
2019-10-29,60.19,29.78
2019-10-28,60.18,30.12
2019-10-25,60.37,28.88
2019-10-24,60.58,28.81
2019-10-23,60.88,29.53
2019-10-22,60.77,29.87
2019-10-21,60.75,29.92
2019-10-18,61.05,30.1
2019-10-17,60.41,29.59
2019-10-16,60.29,29.57
2019-10-15,60.55,29.66
2019-10-14,59.6,29.32
2019-10-11,59.93,29.41
2019-10-10,59.83,29.28
2019-10-09,59.22,28.99
2019-10-08,59.72,29.33
2019-10-07,60.25,29.47
2019-10-04,59.9,29.35
2019-10-03,59.01,29.1
2019-10-02,58.91,29.02
2019-10-01,59.85,29.27
2019-09-30,60.36,29.61
2019-09-27,60.3,29.29
2019-09-26,60.44,29.25
2019-09-25,60.27,29.25
2019-09-24,60.51,29.25
2019-09-23,60.21,29.42
2019-09-20,60.29,29.67
2019-09-19,59.98,29.07
2019-09-18,59.93,28.77
2019-09-17,59.87,29.08
2019-09-16,59.5,29.2
2019-09-13,59.96,29.67
2019-09-12,60.43,30.03
2019-09-11,60.13,30.31
2019-09-10,59.71,29.41
2019-09-09,58.66,28.79
2019-09-06,59.06,28.37
2019-09-05,58.59,28.08
2019-09-04,58.18,27.95
2019-09-03,58.04,27.69
2019-08-30,58.16,27.59
2019-08-29,57.94,27.51
2019-08-28,57.95,27.36
2019-08-27,57.18,27.17
2019-08-26,56.71,27.33
2019-08-23,55.92,27.25
2019-08-22,56.78,27.69
2019-08-21,56.59,27.51
2019-08-20,56.27,27.37
2019-08-19,57.0,27.69
2019-08-16,56.65,27.36
2019-08-15,56.3,26.87
2019-08-14,55.72,26.68
2019-08-13,56.37,27.28
2019-08-12,55.69,26.98
2019-08-09,55.78,27.03
2019-08-08,55.82,27.03
2019-08-07,55.09,26.65
2019-08-06,55.05,26.57
2019-08-05,55.22,26.21
2019-08-02,55.59,26.74
2019-08-01,55.26,26.7
2019-07-31,55.27,26.64
2019-07-30,56.63,26.75
2019-07-29,57.37,26.87
2019-07-26,57.08,26.72
2019-07-25,56.36,26.46
2019-07-24,55.97,26.01
2019-07-23,55.48,25.11
2019-07-22,55.5,25.14
2019-07-19,56.59,25.66
2019-07-18,57.21,25.89
2019-07-17,57.22,26.03
