Date,VZ_Close_Last,T_Close_Last
3/15/2021,55.64,23.42
3/12/2021,55.63,23.33
3/11/2021,55.51,23.12
3/10/2021,57.08,23.47
3/9/2021,56.20,23.19
3/8/2021,56.79,23.47
3/5/2021,56.00,23.18
3/4/2021,54.80,22.63
3/3/2021,55.38,22.47
3/2/2021,54.98,22.08
3/1/2021,55.36,21.98
2/26/2021,55.30,21.82
2/25/2021,56.50,22.40
2/24/2021,57.12,22.99
2/23/2021,57.03,22.83
2/22/2021,56.45,22.94
2/19/2021,56.45,22.69
2/18/2021,56.98,22.87
2/17/2021,56.99,23.14
2/16/2021,54.15,22.67
2/12/2021,54.20,22.54
2/11/2021,54.60,22.45
2/10/2021,54.96,22.34
2/9/2021,55.00,22.40
2/8/2021,55.05,22.51
2/5/2021,55.32,22.64
2/4/2021,55.14,22.61
2/3/2021,54.79,22.31
2/2/2021,54.50,22.33
2/1/2021,54.28,22.42
1/29/2021,54.75,22.40
1/28/2021,55.37,22.54
1/27/2021,55.13,22.80
1/26/2021,56.57,23.28
1/25/2021,58.42,22.78
1/22/2021,57.47,22.64
1/21/2021,57.27,22.56
1/20/2021,57.26,22.66
1/19/2021,57.05,22.65
1/15/2021,57.38,22.83
1/14/2021,57.04,22.92
1/13/2021,57.06,22.39
1/12/2021,57.26,22.50
1/11/2021,57.46,22.59
1/8/2021,57.80,22.71
1/7/2021,58.53,23.41
1/6/2021,59.29,23.34
1/5/2021,58.58,22.90
1/4/2021,58.85,23.04
12/31/2020,58.75,22.51
12/30/2020,58.14,22.29
12/29/2020,58.81,22.33
12/28/2020,58.98,22.34
12/24/2020,58.84,22.45
12/23/2020,58.96,22.50
12/22/2020,58.99,22.22
12/21/2020,59.49,22.70
12/18/2020,60.46,23.01
12/17/2020,60.01,23.18
12/16/2020,59.91,23.70
12/15/2020,60.55,23.93
12/14/2020,59.98,23.91
12/11/2020,60.35,24.27
12/10/2020,60.51,24.02
12/9/2020,61.46,24.62
12/8/2020,61.45,24.11
12/7/2020,61.35,23.19
12/4/2020,61.55,23.12
12/3/2020,61.74,22.87
12/2/2020,61.36,22.76
12/1/2020,60.58,22.59
11/30/2020,60.41,22.50
11/27/2020,60.58,22.72
11/25/2020,60.41,22.69
11/24/2020,60.64,22.87
11/23/2020,60.23,22.40
11/20/2020,60.04,22.16
11/19/2020,60.21,22.13
11/18/2020,60.32,22.40
11/17/2020,60.75,22.72
11/16/2020,60.89,22.67
11/13/2020,61.06,22.62
11/12/2020,60.79,22.25
11/11/2020,61.00,22.48
11/10/2020,61.10,22.58
11/9/2020,59.84,22.15
11/6/2020,58.53,21.47
11/5/2020,58.15,21.53
11/4/2020,57.22,21.16
11/3/2020,57.75,21.49
11/2/2020,57.70,21.39
10/30/2020,56.99,21.14
10/29/2020,56.76,20.94
10/28/2020,56.31,20.74
10/27/2020,57.38,21.07
10/26/2020,57.81,21.43
10/23/2020,57.96,21.77
10/22/2020,57.33,22.13
10/21/2020,56.75,20.91
10/20/2020,57.25,20.94
10/19/2020,57.30,21.03
10/16/2020,58.05,21.39
10/15/2020,58.16,21.48
10/14/2020,58.43,21.51
10/13/2020,59.36,21.71
10/12/2020,59.55,22.01
10/9/2020,59.33,22.16
10/8/2020,59.19,22.39
10/7/2020,59.61,22.54
10/6/2020,59.46,22.47
10/5/2020,59.66,22.43
10/2/2020,59.24,22.44
10/1/2020,59.45,22.29
9/30/2020,59.49,22.31
9/29/2020,59.24,22.15
9/28/2020,59.36,22.21
9/25/2020,59.39,21.94
9/24/2020,59.19,21.94
9/23/2020,58.91,21.81
9/22/2020,59.82,22.31
9/21/2020,59.61,22.40
9/18/2020,60.35,22.64
9/17/2020,60.59,22.75
9/16/2020,60.37,22.88
9/15/2020,60.60,22.79
9/14/2020,60.32,22.80
9/11/2020,59.79,22.69
9/10/2020,59.53,22.62
9/9/2020,60.04,22.98
9/8/2020,59.96,23.09
9/4/2020,60.48,23.02
9/3/2020,60.61,23.15
9/2/2020,60.53,23.24
9/1/2020,59.16,23.06
8/31/2020,59.27,23.33
8/28/2020,59.26,23.51
8/27/2020,59.43,23.40
8/26/2020,59.46,23.47
8/25/2020,59.42,23.40
8/24/2020,59.57,23.50
8/21/2020,58.99,23.23
8/20/2020,58.96,23.22
8/19/2020,59.05,23.26
8/18/2020,59.18,23.31
8/17/2020,58.78,23.36
8/14/2020,58.79,23.48
8/13/2020,58.52,23.41
8/12/2020,58.60,23.62
8/11/2020,58.51,23.63
8/10/2020,58.99,23.63
8/7/2020,58.53,23.49
8/6/2020,57.83,23.35
8/5/2020,57.54,23.36
8/4/2020,57.91,23.48
8/3/2020,57.24,23.18
7/31/2020,57.48,23.15
7/30/2020,57.30,23.14
7/29/2020,57.45,23.13
7/28/2020,57.48,23.23
7/27/2020,56.87,22.92
7/24/2020,56.85,23.14
7/23/2020,55.85,23.40
7/22/2020,55.75,23.60
7/21/2020,55.84,23.67
7/20/2020,55.87,23.36
7/17/2020,56.30,23.67
7/16/2020,55.78,23.78
7/15/2020,55.06,23.48
7/14/2020,55.44,23.44
7/13/2020,54.45,23.29
7/10/2020,54.49,23.58
7/9/2020,53.94,23.12
7/8/2020,55.38,23.84
7/7/2020,55.04,23.73
7/6/2020,55.24,23.86
7/2/2020,54.79,23.54
7/1/2020,54.67,23.40
6/30/2020,55.13,23.66
6/29/2020,54.69,23.41
6/26/2020,53.16,22.76
6/25/2020,54.28,23.26
6/24/2020,53.93,23.02
6/23/2020,54.94,23.67
6/22/2020,55.66,23.56
6/19/2020,56.16,23.72
6/18/2020,56.89,23.75
6/17/2020,56.65,23.68
6/16/2020,56.92,24.09
6/15/2020,56.15,23.87
6/12/2020,56.53,23.87
6/11/2020,56.45,23.61
6/10/2020,58.05,25.15
6/9/2020,57.86,25.53
6/8/2020,58.09,26.00
6/5/2020,57.74,25.64
6/4/2020,57.22,24.88
6/3/2020,56.83,24.66
6/2/2020,56.40,24.25
6/1/2020,55.78,24.20
5/29/2020,57.38,24.15
5/28/2020,55.72,24.31
5/27/2020,55.14,24.92
5/26/2020,54.30,24.12
5/22/2020,54.10,23.38
5/21/2020,53.97,23.30
5/20/2020,54.26,23.15
5/19/2020,54.38,22.66
5/18/2020,55.72,23.05
5/15/2020,54.71,22.15
5/14/2020,54.91,22.36
5/13/2020,54.85,21.98
5/12/2020,55.46,22.61
5/11/2020,56.40,22.99
5/8/2020,57.00,23.31
5/7/2020,55.58,22.61
5/6/2020,55.64,22.53
5/5/2020,56.51,23.27
5/4/2020,56.24,23.16
5/1/2020,56.83,23.40
4/30/2020,57.45,23.84
4/29/2020,58.12,24.59
4/28/2020,57.83,23.98
4/27/2020,57.81,23.90
4/24/2020,57.93,23.25
4/23/2020,57.59,23.08
4/22/2020,57.99,23.06
4/21/2020,56.82,23.37
4/20/2020,58.13,24.24
4/17/2020,58.46,24.44
4/16/2020,57.66,23.60
4/15/2020,56.93,23.55
4/14/2020,58.14,24.36
4/13/2020,56.67,23.62
4/9/2020,57.44,24.05
4/8/2020,57.80,23.39
4/7/2020,56.98,23.54
4/6/2020,56.70,23.04
4/3/2020,54.70,21.49
4/2/2020,55.25,22.51
4/1/2020,52.92,21.95
3/31/2020,53.73,22.81
3/30/2020,54.77,23.66
3/27/2020,52.77,23.35
3/26/2020,53.54,23.95
3/25/2020,49.94,22.22
3/24/2020,49.99,21.98
3/23/2020,50.31,20.95
3/20/2020,51.80,22.26
3/19/2020,53.62,24.38
3/18/2020,54.32,25.71
3/17/2020,54.31,26.40
3/16/2020,50.99,24.89
3/13/2020,54.17,26.97
3/12/2020,51.20,24.52
3/11/2020,54.83,27.01
3/10/2020,56.52,28.05
3/9/2020,55.83,27.15
3/6/2020,56.87,28.98
3/5/2020,57.16,29.09
3/4/2020,58.12,29.88
3/3/2020,55.70,28.41
3/2/2020,57.32,29.09
2/28/2020,54.16,27.56
2/27/2020,55.06,27.96
2/26/2020,57.14,29.03
2/25/2020,57.12,29.23
2/24/2020,57.99,29.77
2/21/2020,58.20,30.17
2/20/2020,58.09,30.21
2/19/2020,58.22,30.08
2/18/2020,57.91,29.94
2/14/2020,58.51,29.93
2/13/2020,58.65,29.98
2/12/2020,58.23,29.77
2/11/2020,58.69,29.87
2/10/2020,60.24,30.00
2/7/2020,59.94,30.09
2/6/2020,59.44,30.08
2/5/2020,59.13,29.59
2/4/2020,58.29,29.45
2/3/2020,58.05,28.92
1/31/2020,59.44,29.44
1/30/2020,59.36,29.29
1/29/2020,59.53,28.99
1/28/2020,60.70,30.19
1/27/2020,59.91,29.93
1/24/2020,60.28,30.13
1/23/2020,60.51,30.23
1/22/2020,60.48,30.55
1/21/2020,60.32,30.14
1/17/2020,60.13,30.03
1/16/2020,59.67,29.76
1/15/2020,59.10,29.63
1/14/2020,59.04,29.81
1/13/2020,59.15,29.81
1/10/2020,58.99,30.18
1/9/2020,58.85,30.36
1/8/2020,59.71,30.81
1/7/2020,59.60,30.71
1/6/2020,60.27,30.60
1/3/2020,60.40,30.57
1/2/2020,61.05,30.41
12/31/2019,61.40,30.58
12/30/2019,61.21,30.55
12/27/2019,61.53,30.71
12/26/2019,61.29,30.64
12/24/2019,61.28,30.49
12/23/2019,61.40,30.57
12/20/2019,62.07,30.64
12/19/2019,60.80,30.46
12/18/2019,60.86,30.31
12/17/2019,61.49,30.13
12/16/2019,61.23,30.20
12/13/2019,60.81,29.94
12/12/2019,61.17,30.01
12/11/2019,61.08,29.87
12/10/2019,61.23,29.78
12/9/2019,61.01,29.77
12/6/2019,61.19,29.89
12/5/2019,60.82,29.88
12/4/2019,60.53,29.81
12/3/2019,60.14,29.38
12/2/2019,59.96,29.20
11/29/2019,60.24,29.25
11/27/2019,60.10,29.47
11/26/2019,59.89,29.27
11/25/2019,59.38,29.16
11/22/2019,59.75,29.54
11/21/2019,59.61,29.42
11/20/2019,59.48,29.09
11/19/2019,59.50,29.74
11/18/2019,59.44,31.01
11/15/2019,59.51,30.91
11/14/2019,59.34,30.48
11/13/2019,59.41,30.64
11/12/2019,59.32,30.65
11/11/2019,59.61,30.81
11/8/2019,59.35,30.82
11/7/2019,60.53,30.85
11/6/2019,60.13,30.71
11/5/2019,59.50,30.65
11/4/2019,59.87,30.43
11/1/2019,60.37,30.48
10/31/2019,60.47,30.12
10/30/2019,60.82,29.89
10/29/2019,60.19,29.78
10/28/2019,60.18,30.12
10/25/2019,60.37,28.88
10/24/2019,60.58,28.81
10/23/2019,60.88,29.53
10/22/2019,60.77,29.87
10/21/2019,60.75,29.92
10/18/2019,61.05,30.10
10/17/2019,60.41,29.59
10/16/2019,60.29,29.57
10/15/2019,60.55,29.66
10/14/2019,59.60,29.32
10/11/2019,59.93,29.41
10/10/2019,59.83,29.28
10/9/2019,59.22,28.99
10/8/2019,59.72,29.33
10/7/2019,60.25,29.47
10/4/2019,59.90,29.35
10/3/2019,59.01,29.10
10/2/2019,58.91,29.02
10/1/2019,59.85,29.27
9/30/2019,60.36,29.61
9/27/2019,60.30,29.29
9/26/2019,60.44,29.25
9/25/2019,60.27,29.25
9/24/2019,60.51,29.25
9/23/2019,60.21,29.42
9/20/2019,60.29,29.67
9/19/2019,59.98,29.07
9/18/2019,59.93,28.77
9/17/2019,59.87,29.08
9/16/2019,59.50,29.20
9/13/2019,59.96,29.67
9/12/2019,60.43,30.03
9/11/2019,60.13,30.31
9/10/2019,59.71,29.41
9/9/2019,58.66,28.79
9/6/2019,59.06,28.37
9/5/2019,58.59,28.08
9/4/2019,58.18,27.95
9/3/2019,58.04,27.69
8/30/2019,58.16,27.59
8/29/2019,57.94,27.51
8/28/2019,57.95,27.36
8/27/2019,57.18,27.17
8/26/2019,56.71,27.33
8/23/2019,55.92,27.25
8/22/2019,56.78,27.69
8/21/2019,56.59,27.51
8/20/2019,56.27,27.37
8/19/2019,57.00,27.69
8/16/2019,56.65,27.36
8/15/2019,56.30,26.87
8/14/2019,55.72,26.68
8/13/2019,56.37,27.28
8/12/2019,55.69,26.98
8/9/2019,55.78,27.03
8/8/2019,55.82,27.03
8/7/2019,55.09,26.65
8/6/2019,55.05,26.57
8/5/2019,55.22,26.21
8/2/2019,55.59,26.74
8/1/2019,55.26,26.70
7/31/2019,55.27,26.64
7/30/2019,56.63,26.75
7/29/2019,57.37,26.87
7/26/2019,57.08,26.72
7/25/2019,56.36,26.46
7/24/2019,55.97,26.01
7/23/2019,55.48,25.11
7/22/2019,55.50,25.14
7/19/2019,56.59,25.66
7/18/2019,57.21,25.89
7/17/2019,57.22,26.03
7/16/2019,57.41,26.28
7/15/2019,57.58,26.38
7/12/2019,57.19,26.33
7/11/2019,56.92,26.18
7/10/2019,57.00,26.42
7/9/2019,56.41,26.25
7/8/2019,57.89,26.80
7/5/2019,58.31,26.84
7/3/2019,58.13,26.59
7/2/2019,58.13,26.48
7/1/2019,56.66,26.16
6/28/2019,57.13,26.22
6/27/2019,57.25,25.81
6/26/2019,56.99,25.46
6/25/2019,58.00,25.47
6/24/2019,58.27,25.49
6/21/2019,57.77,25.39
6/20/2019,57.34,25.46
6/19/2019,57.63,25.36
6/18/2019,57.33,25.38
6/17/2019,57.63,25.28
6/14/2019,58.28,25.31
6/13/2019,57.62,25.27
6/12/2019,57.36,25.18
6/11/2019,56.83,25.13
6/10/2019,56.15,24.99
6/7/2019,57.24,25.42
6/6/2019,57.54,25.12
6/5/2019,57.03,24.79
6/4/2019,56.22,24.63
6/3/2019,56.38,24.33
5/31/2019,54.35,23.93
5/30/2019,56.83,24.93
5/29/2019,58.18,24.97
5/28/2019,58.73,24.99
5/24/2019,59.32,25.25
5/23/2019,58.87,25.15
5/22/2019,59.25,25.26
5/21/2019,59.50,25.36
5/20/2019,59.01,25.19
5/17/2019,58.09,24.88
5/16/2019,57.38,24.74
5/15/2019,56.81,24.45
5/14/2019,56.55,24.33
5/13/2019,56.75,23.84
5/10/2019,56.91,23.96
5/9/2019,56.48,23.77
5/8/2019,56.38,23.71
5/7/2019,56.63,23.89
5/6/2019,56.91,23.94
5/3/2019,57.24,24.02
5/2/2019,56.99,23.96
5/1/2019,56.52,24.09
4/30/2019,57.19,24.23
4/29/2019,56.84,24.16
4/26/2019,56.58,24.01
4/25/2019,55.85,23.74
4/24/2019,57.08,24.09
4/23/2019,57.15,25.12
4/22/2019,58.37,25.10
4/18/2019,58.04,25.06
4/17/2019,57.78,25.00
4/16/2019,58.79,25.24
4/15/2019,58.71,25.06
4/12/2019,58.74,25.20
4/11/2019,58.56,25.20
4/10/2019,58.61,24.95
4/9/2019,58.40,24.85
