Date,State,Cases,Deaths
2022-03-26,Alabama,0,0
2022-03-27,Alabama,0,0
2022-03-28,Alabama,2024,24
2022-03-29,Alabama,284,46
2022-03-30,Alabama,253,4
2022-03-31,Alabama,258,6
2022-04-01,Alabama,26,4
2022-04-02,Alabama,115,19
2022-04-03,Alabama,0,0
2022-04-04,Alabama,424,21
2022-04-05,Alabama,237,28
2022-04-06,Alabama,219,12
2022-04-07,Alabama,210,0
2022-04-08,Alabama,172,2
2022-04-09,Alabama,0,0
2022-04-10,Alabama,0,0
2022-04-11,Alabama,361,3
2022-04-12,Alabama,214,38
2022-04-13,Alabama,156,24
2022-04-14,Alabama,188,34
2022-04-15,Alabama,220,27
2022-04-16,Alabama,0,0
2022-04-17,Alabama,0,0
2022-04-18,Alabama,968,8
2022-04-19,Alabama,364,3
2022-04-20,Alabama,153,11
2022-04-21,Alabama,254,5
2022-04-22,Alabama,257,12
2022-04-23,Alabama,0,0
2022-04-24,Alabama,0,0
2022-04-25,Alabama,679,4
2022-04-26,Alabama,260,0
2022-04-27,Alabama,202,14
2022-04-28,Alabama,233,2
2022-04-29,Alabama,222,6
2022-04-30,Alabama,0,0
2022-05-01,Alabama,0,0
2022-05-02,Alabama,438,3
2022-05-03,Alabama,292,15
2022-05-04,Alabama,342,5
2022-05-05,Alabama,350,3
2022-05-06,Alabama,242,8
2022-05-07,Alabama,0,0
2022-05-08,Alabama,0,0
2022-05-09,Alabama,548,0
2022-05-10,Alabama,496,5
2022-05-11,Alabama,394,0
2022-05-12,Alabama,456,17
2022-05-13,Alabama,419,5
2022-05-14,Alabama,0,0
2022-05-15,Alabama,0,0
2022-05-16,Alabama,955,3
2022-05-17,Alabama,451,2
2022-05-18,Alabama,546,0
2022-05-19,Alabama,629,8
